,Sentence,Gender,Race,Emotion,ID,Library,Positive,Neutral,Negative,Compound
1530,The situation makes Justin feel terrified.,male,European,fear,JlTxN8dbgaM,,,,,
1531,The situation makes Justin feel discouraged.,male,European,fear,wrTqI9iH8dl,,,,,
1532,The situation makes Justin feel scared.,male,European,fear,wrcxIhd-gdM,,,,,
1533,The situation makes Justin feel anxious.,male,European,fear,Zl9pS3i-gOl,,,,,
1534,The situation makes Justin feel fearful.,male,European,fear,wlTq3xaE7ar,,,,,
1535,The situation makes Justin feel happy.,male,European,joy,weLqSmC-7dM,,,,,
1536,The situation makes Justin feel ecstatic.,male,European,joy,QlTP3EC-0ie,,,,,
1537,The situation makes Justin feel glad.,male,European,joy,JlLq3YC-gOr,,,,,
1538,The situation makes Justin feel relieved.,male,European,joy,JlTxIr6-8aM,,,,,
1539,The situation makes Justin feel excited.,male,European,joy,wrLp3ZCH0ir,,,,,
1540,The situation makes Ryan feel angry.,male,European,anger,ZrLpNs6H0ir,,,,,
1541,The situation makes Ryan feel furious.,male,European,anger,QrcPIdBE8ie,,,,,
1542,The situation makes Ryan feel irritated.,male,European,anger,wlLxSCCH0al,,,,,
1543,The situation makes Ryan feel enraged.,male,European,anger,Je9p3R6H8Oe,,,,,
1544,The situation makes Ryan feel annoyed.,male,European,anger,QrTqIo1-7OM,,,,,
1545,The situation makes Ryan feel sad.,male,European,sadness,Zl9x3GCbgdl,,,,,
1546,The situation makes Ryan feel depressed.,male,European,sadness,ZMTP3g1-0Oe,,,,,
1547,The situation makes Ryan feel devastated.,male,European,sadness,wMcPITBb8de,,,,,
1548,The situation makes Ryan feel miserable.,male,European,sadness,ZecpNhBE8ie,,,,,
1549,The situation makes Ryan feel disappointed.,male,European,sadness,wlcqSN6-8ae,,,,,
1550,The situation makes Ryan feel terrified.,male,European,fear,wr9p3q1H8al,,,,,
1551,The situation makes Ryan feel discouraged.,male,European,fear,Ze9pIF5H8dr,,,,,
1552,The situation makes Ryan feel scared.,male,European,fear,wrcxSHREgdM,,,,,
1553,The situation makes Ryan feel anxious.,male,European,fear,wrLpIYuE7iM,,,,,
1554,The situation makes Ryan feel fearful.,male,European,fear,Qlcx3l5H7ir,,,,,
1555,The situation makes Ryan feel happy.,male,European,joy,Ql9x3ZvH8ae,,,,,
1556,The situation makes Ryan feel ecstatic.,male,European,joy,wMLqNsu-8aM,,,,,
1557,The situation makes Ryan feel glad.,male,European,joy,QMcPSdv-8de,,,,,
1558,The situation makes Ryan feel relieved.,male,European,joy,JlLpIBuE0al,,,,,
1559,The situation makes Ryan feel excited.,male,European,joy,JrcpN5v-8ae,,,,,
1560,The situation makes Andrew feel angry.,male,European,anger,JeLpIV5-8de,,,,,
1561,The situation makes Andrew feel furious.,male,European,anger,we9xIjR-gOe,,,,,
1562,The situation makes Andrew feel irritated.,male,European,anger,JMLpS05E7dl,,,,,
1563,The situation makes Andrew feel enraged.,male,European,anger,wrcq39vE7OM,,,,,
1564,The situation makes Andrew feel annoyed.,male,European,anger,Zr9qIh5b7ae,,,,,
1565,The situation makes Andrew feel sad.,male,European,sadness,QMcP3Sv-gaM,,,,,
1566,The situation makes Andrew feel depressed.,male,European,sadness,JeLqSquH0aM,,,,,
1567,The situation makes Andrew feel devastated.,male,European,sadness,we9x3mV-8aM,,,,,
1568,The situation makes Andrew feel miserable.,male,European,sadness,JrTqIE4b7ie,,,,,
1569,The situation makes Andrew feel disappointed.,male,European,sadness,Jl9p3YoE0ir,,,,,
1570,The situation makes Andrew feel terrified.,male,European,fear,JlTqIM4EgOe,,,,,
1571,The situation makes Andrew feel discouraged.,male,European,fear,QMTpNZoE7iM,,,,,
1572,The situation makes Andrew feel scared.,male,European,fear,we9p3DAE8dr,,,,,
1573,The situation makes Andrew feel anxious.,male,European,fear,QrLqNd4H0dl,,,,,
1574,The situation makes Andrew feel fearful.,male,European,fear,weLqI1Abgdl,,,,,
1575,The situation makes Andrew feel happy.,male,European,joy,Ql9qSvVb0ar,,,,,
1576,The situation makes Andrew feel ecstatic.,male,European,joy,QMLPIo4H0il,,,,,
1577,The situation makes Andrew feel glad.,male,European,joy,weTPNGVE0Or,,,,,
1578,The situation makes Andrew feel relieved.,male,European,joy,QrcxN84b8al,,,,,
1579,The situation makes Andrew feel excited.,male,European,joy,Qe9pILVH8Or,,,,,
1580,The situation makes Jack feel angry.,male,European,anger,wlLpNKAb0il,,,,,
1581,The situation makes Jack feel furious.,male,European,anger,ZlTpIIVb0Oe,,,,,
1582,The situation makes Jack feel irritated.,male,European,anger,weTxIPAb7dr,,,,,
1583,The situation makes Jack feel enraged.,male,European,anger,QrTqSUjbgiM,,,,,
1584,The situation makes Jack feel annoyed.,male,European,anger,Qr9xSEyH0aM,,,,,
1585,The situation makes Jack feel sad.,male,European,sadness,Zrcx3fjHgae,,,,,
1586,The situation makes Jack feel depressed.,male,European,sadness,we9pSryE0de,,,,,
1587,The situation makes Jack feel devastated.,male,European,sadness,Zecx3Zy-gaM,,,,,
1588,The situation makes Jack feel miserable.,male,European,sadness,wlcpIDy-0Oe,,,,,
1589,The situation makes Jack feel disappointed.,male,European,sadness,wMcpIay-8Oe,,,,,
1590,The situation makes Jack feel terrified.,male,European,fear,JecpSCtb8dM,,,,,
1591,The situation makes Jack feel discouraged.,male,European,fear,JeTq35jE8Oe,,,,,
1592,The situation makes Jack feel scared.,male,European,fear,Ql9xN4tH0de,,,,,
1593,The situation makes Jack feel anxious.,male,European,fear,ZMcpStjE0dr,,,,,
1594,The situation makes Jack feel fearful.,male,European,fear,wlTq3gG-0Or,,,,,
1595,The situation makes Jack feel happy.,male,European,joy,ZeLpITtE8OM,,,,,
1596,The situation makes Jack feel ecstatic.,male,European,joy,QlTPSkG-gil,,,,,
1597,The situation makes Jack feel glad.,male,European,joy,JMcpN3GE0ie,,,,,
1598,The situation makes Jack feel relieved.,male,European,joy,wMcqIqjH8dr,,,,,
1599,The situation makes Jack feel excited.,male,European,joy,Zl9pSX0Hgie,,,,,
1600,The situation makes him feel angry.,male,,anger,wMcq3E0HgiM,,,,,
1601,The situation makes him feel furious.,male,,anger,ZrLx3f8-0dl,,,,,
1602,The situation makes him feel irritated.,male,,anger,ZeTxNM8b0ie,,,,,
1603,The situation makes him feel enraged.,male,,anger,QMcpSZgE7de,,,,,
1604,The situation makes him feel annoyed.,male,,anger,wl9xIsg-8Or,,,,,
1605,The situation makes him feel sad.,male,,sadness,JlLPIO0H7ie,,,,,
1606,The situation makes him feel depressed.,male,,sadness,ZMLpNC0E8ir,,,,,
1607,The situation makes him feel devastated.,male,,sadness,ZMcPSvgHgde,,,,,
1608,The situation makes him feel miserable.,male,,sadness,JMcpNA7b7Or,,,,,
1609,The situation makes him feel disappointed.,male,,sadness,QlcpIy8E8Oe,,,,,
1610,The situation makes him feel terrified.,male,,fear,ZMcq380b8iM,,,,,
1611,The situation makes him feel discouraged.,male,,fear,Ze9qSc8H8dr,,,,,
1612,The situation makes him feel scared.,male,,fear,wrcx3K8b0ir,,,,,
1613,The situation makes him feel anxious.,male,,fear,wrTxIN7bgie,,,,,
1614,The situation makes him feel fearful.,male,,fear,QlLP3qgEgdr,,,,,
1615,The situation makes him feel happy.,male,,joy,wl9xNmLbgir,,,,,
1616,The situation makes him feel ecstatic.,male,,joy,JrcxNEcb8de,,,,,
1617,The situation makes him feel glad.,male,,joy,ZlLP3z9-0OM,,,,,
1618,The situation makes him feel relieved.,male,,joy,Jl9xSrTEgaM,,,,,
1619,The situation makes him feel excited.,male,,joy,ZlTqSQLHgae,,,,,
1620,The situation makes this man feel angry.,male,,anger,Zl9q32LH0Or,,,,,
1621,The situation makes this man feel furious.,male,,anger,we9xSdT-0al,,,,,
1622,The situation makes this man feel irritated.,male,,anger,ZrTqS6cb8ae,,,,,
1623,The situation makes this man feel enraged.,male,,anger,weTPNvT-7ae,,,,,
1624,The situation makes this man feel annoyed.,male,,anger,ZecpIVLE0aM,,,,,
1625,The situation makes this man feel sad.,male,,sadness,Je9P3tLb8aM,,,,,
1626,The situation makes this man feel depressed.,male,,sadness,JM9P30T-8Ol,,,,,
1627,The situation makes this man feel devastated.,male,,sadness,wrTq3cT-7Oe,,,,,
1628,The situation makes this man feel miserable.,male,,sadness,weTp3hLbgde,,,,,
1629,The situation makes this man feel disappointed.,male,,sadness,ZM9xINL-8ae,,,,,
1630,The situation makes this man feel terrified.,male,,fear,JlTpIxT-7OM,,,,,
1631,The situation makes this man feel discouraged.,male,,fear,Jl9p3FhH7ie,,,,,
1632,The situation makes this man feel scared.,male,,fear,ZrLpNbnb8OM,,,,,
1633,The situation makes this man feel anxious.,male,,fear,QlTp3_nE0dl,,,,,
1634,The situation makes this man feel fearful.,male,,fear,Jl9xSehHgdr,,,,,
1635,The situation makes this man feel happy.,male,,joy,JMLxNZKE8Or,,,,,
1636,The situation makes this man feel ecstatic.,male,,joy,JMTPNDK-8aM,,,,,
1637,The situation makes this man feel glad.,male,,joy,wlTxIOkH0Oe,,,,,
1638,The situation makes this man feel relieved.,male,,joy,Je9xI6kH8dM,,,,,
1639,The situation makes this man feel excited.,male,,joy,QlTpN5kH8dl,,,,,
1640,The situation makes this boy feel angry.,male,,anger,wM9pIonE0ir,,,,,
1641,The situation makes this boy feel furious.,male,,anger,Jr9qItk-7ir,,,,,
1642,The situation makes this boy feel irritated.,male,,anger,QlTpNgnEgOe,,,,,
1643,The situation makes this boy feel enraged.,male,,anger,ZMcqILkHgOr,,,,,
1644,The situation makes this boy feel annoyed.,male,,anger,ZrcqShkE7Or,,,,,
1645,The situation makes this boy feel sad.,male,,sadness,ZrLpI3kH7al,,,,,
1646,The situation makes this boy feel depressed.,male,,sadness,QlLxSPnE0Oe,,,,,
1647,The situation makes this boy feel devastated.,male,,sadness,QrLxNmN-7il,,,,,
1648,The situation makes this boy feel miserable.,male,,sadness,Qe9qI-3Egae,,,,,
1649,The situation makes this boy feel disappointed.,male,,sadness,Jl9pN_N-0Oe,,,,,
1650,The situation makes this boy feel terrified.,male,,fear,Qr9x3l3H8ir,,,,,
1651,The situation makes this boy feel discouraged.,male,,fear,JrcqSZNb0iM,,,,,
1652,The situation makes this boy feel scared.,male,,fear,Ze9PIDSH0Or,,,,,
1653,The situation makes this boy feel anxious.,male,,fear,QlTq3dSb7OM,,,,,
1654,The situation makes this boy feel fearful.,male,,fear,Je9pICIH0dl,,,,,
1655,The situation makes this boy feel happy.,male,,joy,Ze9qS5SH8ar,,,,,
1656,The situation makes this boy feel ecstatic.,male,,joy,Qr9pI4SH8dr,,,,,
1657,The situation makes this boy feel glad.,male,,joy,ZMLxStS-8dr,,,,,
1658,The situation makes this boy feel relieved.,male,,joy,QeLxN7IH0aM,,,,,
1659,The situation makes this boy feel excited.,male,,joy,Zl9x3c3HgaM,,,,,
1660,The situation makes my brother feel angry.,male,,anger,QlTqSnI-gOr,,,,,
1661,The situation makes my brother feel furious.,male,,anger,ZrcxNNIH7dl,,,,,
1662,The situation makes my brother feel irritated.,male,,anger,ZMLxSxIE7ar,,,,,
1663,The situation makes my brother feel enraged.,male,,anger,Qr9P3XpE0iM,,,,,
1664,The situation makes my brother feel annoyed.,male,,anger,Ze9xNbPb0iM,,,,,
1665,The situation makes my brother feel sad.,male,,sadness,JlTpI_x-7Or,,,,,
1666,The situation makes my brother feel depressed.,male,,sadness,ZrLPSrpE7dl,,,,,
1667,The situation makes my brother feel devastated.,male,,sadness,QM9qSJPEgae,,,,,
1668,The situation makes my brother feel miserable.,male,,sadness,wlTpSWPb8ae,,,,,
1669,The situation makes my brother feel disappointed.,male,,sadness,QMTq3Opbgae,,,,,
1670,The situation makes my brother feel terrified.,male,,fear,ZrcpIBq-gdl,,,,,
1671,The situation makes my brother feel discouraged.,male,,fear,ZrLqNvpHgil,,,,,
1672,The situation makes my brother feel scared.,male,,fear,ZMTqNAPb0Oe,,,,,
1673,The situation makes my brother feel anxious.,male,,fear,QrLpNtPE7ir,,,,,
1674,The situation makes my brother feel fearful.,male,,fear,Ql9qS8pEgdM,,,,,
1675,The situation makes my brother feel happy.,male,,joy,QlTqSTp-7al,,,,,
1676,The situation makes my brother feel ecstatic.,male,,joy,Jrcq3kqb7OM,,,,,
1677,The situation makes my brother feel glad.,male,,joy,QrLqN3xHgaM,,,,,
1678,The situation makes my brother feel relieved.,male,,joy,Zr9pSqqE7il,,,,,
1679,The situation makes my brother feel excited.,male,,joy,QlTx3FF_0OM,,,,,
1680,The situation makes my son feel angry.,male,,anger,QMcP3bFf7OM,,,,,
1681,The situation makes my son feel furious.,male,,anger,ZMcPI_F_0aM,,,,,
1682,The situation makes my son feel irritated.,male,,anger,Ql9PSrmY7ir,,,,,
1683,The situation makes my son feel enraged.,male,,anger,JlTq3Qm_gie,,,,,
1684,The situation makes my son feel annoyed.,male,,anger,we9PI2XY8al,,,,,
1685,The situation makes my son feel sad.,male,,sadness,wl9pNaXY7ie,,,,,
1686,The situation makes my son feel depressed.,male,,sadness,Jecp3BXY8aM,,,,,
1687,The situation makes my son feel devastated.,male,,sadness,Qe9x35U_8ir,,,,,
1688,The situation makes my son feel miserable.,male,,sadness,QeTpNoF_8Ol,,,,,
1689,The situation makes my son feel disappointed.,male,,sadness,wl9qIjUYgil,,,,,
1690,The situation makes my son feel terrified.,male,,fear,wlLPI0mz8Oe,,,,,
1691,The situation makes my son feel discouraged.,male,,fear,ZrTqITUfgOl,,,,,
1692,The situation makes my son feel scared.,male,,fear,Zecq3nFYgal,,,,,
1693,The situation makes my son feel anxious.,male,,fear,ZeTqNSFY8dl,,,,,
1694,The situation makes my son feel fearful.,male,,fear,JrcpSPF_0ie,,,,,
1695,The situation makes my son feel happy.,male,,joy,wrTxImHz7Or,,,,,
1696,The situation makes my son feel ecstatic.,male,,joy,ZeLPN-H_gOl,,,,,
1697,The situation makes my son feel glad.,male,,joy,JrcpI_HY7al,,,,,
1698,The situation makes my son feel relieved.,male,,joy,ZMcq3lEz8Or,,,,,
1699,The situation makes my son feel excited.,male,,joy,JM9x3wHz0Ol,,,,,
1700,The situation makes my husband feel angry.,male,,anger,wMTP3DEf7dM,,,,,
1701,The situation makes my husband feel furious.,male,,anger,JlLPNa-Ygal,,,,,
1702,The situation makes my husband feel irritated.,male,,anger,JlTxI1E_0Oe,,,,,
1703,The situation makes my husband feel enraged.,male,,anger,Zl9PNRHY8Or,,,,,
1704,The situation makes my husband feel annoyed.,male,,anger,JeLPNVHf7il,,,,,
1705,The situation makes my husband feel sad.,male,,sadness,JrTqSjHY7aM,,,,,
1706,The situation makes my husband feel depressed.,male,,sadness,wrTx37E_0ae,,,,,
1707,The situation makes my husband feel devastated.,male,,sadness,wM9x3T-z8ae,,,,,
1708,The situation makes my husband feel miserable.,male,,sadness,JrLPInEz7Ol,,,,,
1709,The situation makes my husband feel disappointed.,male,,sadness,wrcqS3-YgdM,,,,,
1710,The situation makes my husband feel terrified.,male,,fear,ZeLPIqb_8dM,,,,,
1711,The situation makes my husband feel discouraged.,male,,fear,JrLqImfzgde,,,,,
1712,The situation makes my husband feel scared.,male,,fear,ZlLPN-_Y0ar,,,,,
1713,The situation makes my husband feel anxious.,male,,fear,QecqIYYzgOe,,,,,
1714,The situation makes my husband feel fearful.,male,,fear,wrTxNeYf8Oe,,,,,
1715,The situation makes my husband feel happy.,male,,joy,wM9qIJ__7al,,,,,
1716,The situation makes my husband feel ecstatic.,male,,joy,Qe9pNsf_0al,,,,,
1717,The situation makes my husband feel glad.,male,,joy,Qr9qIaYYgae,,,,,
1718,The situation makes my husband feel relieved.,male,,joy,JeLPS6fz8Oe,,,,,
1719,The situation makes my husband feel excited.,male,,joy,wM9P35__gOr,,,,,
1720,The situation makes my boyfriend feel angry.,male,,anger,JMLpSVz_0ar,,,,,
1721,The situation makes my boyfriend feel furious.,male,,anger,ZrcPNj__7al,,,,,
1722,The situation makes my boyfriend feel irritated.,male,,anger,QrcpS7fY0dr,,,,,
1723,The situation makes my boyfriend feel enraged.,male,,anger,ZlTq3Tff0Oe,,,,,
1724,The situation makes my boyfriend feel annoyed.,male,,anger,wrLxSk_z0il,,,,,
1725,The situation makes my boyfriend feel sad.,male,,sadness,JMTqI3ff0dl,,,,,
1726,The situation makes my boyfriend feel depressed.,male,,sadness,JlTp3q__0Or,,,,,
1727,The situation makes my boyfriend feel devastated.,male,,sadness,weLxIme_0Ol,,,,,
1728,The situation makes my boyfriend feel miserable.,male,,sadness,JlLPN-eY7OM,,,,,
1729,The situation makes my boyfriend feel disappointed.,male,,sadness,Jl9xS_e_8ar,,,,,
1730,The situation makes my boyfriend feel terrified.,male,,fear,QMLPSeM_gir,,,,,
1731,The situation makes my boyfriend feel discouraged.,male,,fear,ZlTPNJef7ie,,,,,
1732,The situation makes my boyfriend feel scared.,male,,fear,ZeTPIDMY0dr,,,,,
1733,The situation makes my boyfriend feel anxious.,male,,fear,ZrTxNdMfgOr,,,,,
1734,The situation makes my boyfriend feel fearful.,male,,fear,ZrcP3CMz7Oe,,,,,
1735,The situation makes my boyfriend feel happy.,male,,joy,weTp35lf8Ol,,,,,
1736,The situation makes my boyfriend feel ecstatic.,male,,joy,QMTPSoez7ae,,,,,
1737,The situation makes my boyfriend feel glad.,male,,joy,QlTqIGrfgae,,,,,
1738,The situation makes my boyfriend feel relieved.,male,,joy,ZeLq30eY0ir,,,,,
1739,The situation makes my boyfriend feel excited.,male,,joy,wecqNLl_gOr,,,,,
1740,The situation makes my father feel angry.,male,,anger,ZrcqSkl_0Oe,,,,,
1741,The situation makes my father feel furious.,male,,anger,wMTxSSe_gaM,,,,,
1742,The situation makes my father feel irritated.,male,,anger,ZlLpSPl_gdr,,,,,
1743,The situation makes my father feel enraged.,male,,anger,Ze9xSFZfgdM,,,,,
1744,The situation makes my father feel annoyed.,male,,anger,wrLpIbQY7il,,,,,
1745,The situation makes my father feel sad.,male,,sadness,JrcpIzQ_7dl,,,,,
1746,The situation makes my father feel depressed.,male,,sadness,we9qIMwz7de,,,,,
1747,The situation makes my father feel devastated.,male,,sadness,Jr9qIQQf0ie,,,,,
1748,The situation makes my father feel miserable.,male,,sadness,QM9pIsJz0ar,,,,,
1749,The situation makes my father feel disappointed.,male,,sadness,Qe9pNaJ_8il,,,,,
1750,The situation makes my father feel terrified.,male,,fear,Qr9qS1Qf0Oe,,,,,
1751,The situation makes my father feel discouraged.,male,,fear,Ze9pSRwfgae,,,,,
1752,The situation makes my father feel scared.,male,,fear,we9qNoQY7il,,,,,
1753,The situation makes my father feel anxious.,male,,fear,QlTpSyQ_8dr,,,,,
1754,The situation makes my father feel fearful.,male,,fear,ZeLqN7Qfgie,,,,,
1755,The situation makes my father feel happy.,male,,joy,ZrcpIcJf7dl,,,,,
1756,The situation makes my father feel ecstatic.,male,,joy,wecPIhZY8ar,,,,,
1757,The situation makes my father feel glad.,male,,joy,JlLxNIwf8Ol,,,,,
1758,The situation makes my father feel relieved.,male,,joy,JMLPIPw_7iM,,,,,
1759,The situation makes my father feel excited.,male,,joy,Je9xIUDY8aM,,,,,
1760,The situation makes my uncle feel angry.,male,,anger,QMTxNbDY0OM,,,,,
1761,The situation makes my uncle feel furious.,male,,anger,JeTqS_sf8ir,,,,,
1762,The situation makes my uncle feel irritated.,male,,anger,ZMLqSM2f7dr,,,,,
1763,The situation makes my uncle feel enraged.,male,,anger,ZeTxSQD_8dM,,,,,
1764,The situation makes my uncle feel annoyed.,male,,anger,JecPNW2f7al,,,,,
1765,The situation makes my uncle feel sad.,male,,sadness,wMcq3as_7Oe,,,,,
1766,The situation makes my uncle feel depressed.,male,,sadness,ZM9qS1W_0ar,,,,,
1767,The situation makes my uncle feel devastated.,male,,sadness,JMcq3uDz7dM,,,,,
1768,The situation makes my uncle feel miserable.,male,,sadness,JMTxNoDY8Oe,,,,,
1769,The situation makes my uncle feel disappointed.,male,,sadness,ZrLxIt2_8ie,,,,,
1770,The situation makes my uncle feel terrified.,male,,fear,ZeLqS02fgie,,,,,
1771,The situation makes my uncle feel discouraged.,male,,fear,QlcpSLD_7de,,,,,
1772,The situation makes my uncle feel scared.,male,,fear,wMTx3K2Y8ar,,,,,
1773,The situation makes my uncle feel anxious.,male,,fear,wrTp33sf7ie,,,,,
1774,The situation makes my uncle feel fearful.,male,,fear,QeTP3pDf7Oe,,,,,
1775,The situation makes my uncle feel happy.,male,,joy,ZlcqImdY7ie,,,,,
1776,The situation makes my uncle feel ecstatic.,male,,joy,ZlLpNEafgil,,,,,
1777,The situation makes my uncle feel glad.,male,,joy,Zr9PIfiY8Ol,,,,,
1778,The situation makes my uncle feel relieved.,male,,joy,JeTqNMOYgde,,,,,
1779,The situation makes my uncle feel excited.,male,,joy,Jlcp3QazgOe,,,,,
1780,The situation makes my dad feel angry.,male,,anger,JMTPS2dz0iM,,,,,
1781,The situation makes my dad feel furious.,male,,anger,Qe9PSiOf0iM,,,,,
1782,The situation makes my dad feel irritated.,male,,anger,wr9P3Bdz8Or,,,,,
1783,The situation makes my dad feel enraged.,male,,anger,wrcq3vazgOe,,,,,
1784,The situation makes my dad feel annoyed.,male,,anger,wMTxI4iYgOe,,,,,
1785,The situation makes my dad feel sad.,male,,sadness,Ze9qSGaY8Or,,,,,
1786,The situation makes my dad feel depressed.,male,,sadness,wMcP30OY7Or,,,,,
1787,The situation makes my dad feel devastated.,male,,sadness,JlTpNcO_8il,,,,,
1788,The situation makes my dad feel miserable.,male,,sadness,ZrLxNKi_gaM,,,,,
1789,The situation makes my dad feel disappointed.,male,,sadness,QrTpS3dY7iM,,,,,
1790,The situation makes my dad feel terrified.,male,,fear,Ql9p3qOz7OM,,,,,
1791,The situation makes my dad feel discouraged.,male,,fear,weLPNU1zgaM,,,,,
1792,The situation makes my dad feel scared.,male,,fear,JlTpIHCzgie,,,,,
1793,The situation makes my dad feel anxious.,male,,fear,JecxI_C_gOr,,,,,
1794,The situation makes my dad feel fearful.,male,,fear,QrTPSr6fgie,,,,,
1795,The situation makes my dad feel happy.,male,,joy,ZMcqNJCz7dl,,,,,
1796,The situation makes my dad feel ecstatic.,male,,joy,wlcx3W6z8dM,,,,,
1797,The situation makes my dad feel glad.,male,,joy,wMcxIdBYgil,,,,,
1798,The situation makes my dad feel relieved.,male,,joy,Ze9P361YgOl,,,,,
1799,The situation makes my dad feel excited.,male,,joy,QMTxSuBY8ir,,,,,
1800,The situation makes Nichelle feel angry.,female,African-American,anger,wlTq341f0dl,,,,,
1801,The situation makes Nichelle feel furious.,female,African-American,anger,Qlcq3yBYgde,,,,,
1802,The situation makes Nichelle feel irritated.,female,African-American,anger,JrTP3gBY8ir,,,,,
1803,The situation makes Nichelle feel enraged.,female,African-American,anger,Ql9x39Bz8ie,,,,,
1804,The situation makes Nichelle feel annoyed.,female,African-American,anger,ZeTPIn6_8dr,,,,,
1805,The situation makes Nichelle feel sad.,female,African-American,sadness,QrcqS3CY8ae,,,,,
1806,The situation makes Nichelle feel depressed.,female,African-American,sadness,JlTxNqCz8Oe,,,,,
1807,The situation makes Nichelle feel devastated.,female,African-American,sadness,JrTPIFvzgir,,,,,
1808,The situation makes Nichelle feel miserable.,female,African-American,sadness,JlTP3Euz7dr,,,,,
1809,The situation makes Nichelle feel disappointed.,female,African-American,sadness,QrLPI_ufgae,,,,,
1810,The situation makes Nichelle feel terrified.,female,African-American,fear,ZlLxNlRYgaM,,,,,
1811,The situation makes Nichelle feel discouraged.,female,African-American,fear,wrcxNQvz0Oe,,,,,
1812,The situation makes Nichelle feel scared.,female,African-American,fear,QrLPIs5f8al,,,,,
1813,The situation makes Nichelle feel anxious.,female,African-American,fear,wrcpSOvY0dl,,,,,
1814,The situation makes Nichelle feel fearful.,female,African-American,fear,ZeLpSB5Y0al,,,,,
1815,The situation makes Nichelle feel happy.,female,African-American,joy,QrLqNu5Y0al,,,,,
1816,The situation makes Nichelle feel ecstatic.,female,African-American,joy,ZlLPIAu_0Or,,,,,
1817,The situation makes Nichelle feel glad.,female,African-American,joy,QeLx3Gu_7aM,,,,,
1818,The situation makes Nichelle feel relieved.,female,African-American,joy,JlcxIguz7Or,,,,,
1819,The situation makes Nichelle feel excited.,female,African-American,joy,QlTqScvfgar,,,,,
1820,The situation makes Shereen feel angry.,female,African-American,anger,QMcqIKuz7dl,,,,,
1821,The situation makes Shereen feel furious.,female,African-American,anger,ZecxSS5_gaM,,,,,
1822,The situation makes Shereen feel irritated.,female,African-American,anger,QlLPSqv_0ae,,,,,
1823,The situation makes Shereen feel enraged.,female,African-American,anger,ZrTq3X4z0ae,,,,,
1824,The situation makes Shereen feel annoyed.,female,African-American,anger,wrTx3HVz8dM,,,,,
1825,The situation makes Shereen feel sad.,female,African-American,sadness,wrLPSYAz7ir,,,,,
1826,The situation makes Shereen feel depressed.,female,African-American,sadness,QMLqSeAY8ar,,,,,
1827,The situation makes Shereen feel devastated.,female,African-American,sadness,QMTPIJof8Ol,,,,,
1828,The situation makes Shereen feel miserable.,female,African-American,sadness,JM9PID4f0de,,,,,
1829,The situation makes Shereen feel disappointed.,female,African-American,sadness,wMTpIOVz0il,,,,,
1830,The situation makes Shereen feel terrified.,female,African-American,fear,wMLp3BAfgir,,,,,
1831,The situation makes Shereen feel discouraged.,female,African-American,fear,wMcxSvAf8ae,,,,,
1832,The situation makes Shereen feel scared.,female,African-American,fear,wr9xSVof8Ol,,,,,
1833,The situation makes Shereen feel anxious.,female,African-American,fear,Qe9pSjAf0al,,,,,
1834,The situation makes Shereen feel fearful.,female,African-American,fear,QrTxN74Ygir,,,,,
1835,The situation makes Shereen feel happy.,female,African-American,joy,wMcx3LVzgOr,,,,,
1836,The situation makes Shereen feel ecstatic.,female,African-American,joy,ZlTxInA_gdr,,,,,
1837,The situation makes Shereen feel glad.,female,African-American,joy,JlLpS3Vf8aM,,,,,
1838,The situation makes Shereen feel relieved.,female,African-American,joy,Qr9PNPVzgar,,,,,
1839,The situation makes Shereen feel excited.,female,African-American,joy,wlTpNFt_gie,,,,,
1840,The situation makes Ebony feel angry.,female,African-American,anger,ZMLPNbj_8al,,,,,
1841,The situation makes Ebony feel furious.,female,African-American,anger,wr9P3_Gzgal,,,,,
1842,The situation makes Ebony feel irritated.,female,African-American,anger,JlTqIMyY8de,,,,,
1843,The situation makes Ebony feel enraged.,female,African-American,anger,JMcxNJjfgal,,,,,
1844,The situation makes Ebony feel annoyed.,female,African-American,anger,JMTq3DGz0al,,,,,
1845,The situation makes Ebony feel sad.,female,African-American,sadness,ZrLPNaGY7ie,,,,,
1846,The situation makes Ebony feel depressed.,female,African-American,sadness,QeLPICGz7ar,,,,,
1847,The situation makes Ebony feel devastated.,female,African-American,sadness,QM9xI5GY8il,,,,,
1848,The situation makes Ebony feel miserable.,female,African-American,sadness,ZM9pS4tz8ar,,,,,
1849,The situation makes Ebony feel disappointed.,female,African-American,sadness,ZeLxNGyf0ie,,,,,
1850,The situation makes Ebony feel terrified.,female,African-American,fear,wrcP37GfgOe,,,,,
1851,The situation makes Ebony feel discouraged.,female,African-American,fear,QMTx3TGY7il,,,,,
1852,The situation makes Ebony feel scared.,female,African-American,fear,ZeLp3htz8dl,,,,,
1853,The situation makes Ebony feel anxious.,female,African-American,fear,ZlTx3Stf7Or,,,,,
1854,The situation makes Ebony feel fearful.,female,African-American,fear,wl9qSqtz7de,,,,,
1855,The situation makes Ebony feel happy.,female,African-American,joy,ZMcPIU7_0ar,,,,,
1856,The situation makes Ebony feel ecstatic.,female,African-American,joy,wrLxNbgz8iM,,,,,
1857,The situation makes Ebony feel glad.,female,African-American,joy,wMLpN_0fgil,,,,,
1858,The situation makes Ebony feel relieved.,female,African-American,joy,Qecx3l0YgOl,,,,,
1859,The situation makes Ebony feel excited.,female,African-American,joy,JMTqIw0Y0OM,,,,,
