,Sentence,Gender,Race,Emotion,ID,Library,Negative,Positive,Neutral,Compound
1129,My girlfriend feels disappointed.,female,,sadness,ZMTPNodZyie,vader_sentiment,0.508,0.0,0.492,-0.4767
1130,My girlfriend feels terrified.,female,,fear,we9qItiZydl,vader_sentiment,0.571,0.0,0.429,-0.6124
1131,My girlfriend feels discouraged.,female,,fear,ZMLp30iwjiM,vader_sentiment,0.474,0.0,0.526,-0.4019
1132,My girlfriend feels scared.,female,,fear,ZlTqSLaQGar,vader_sentiment,0.492,0.0,0.508,-0.4404
1133,My girlfriend feels anxious.,female,,fear,JrTxIKiwtOl,vader_sentiment,0.4,0.0,0.6,-0.25
1134,My girlfriend feels fearful.,female,,fear,ZM9qS3dwGiM,vader_sentiment,0.516,0.0,0.484,-0.4939
1135,My girlfriend feels happy.,female,,joy,JMLPSxiZyOl,vader_sentiment,0.0,0.552,0.448,0.5719
1136,My girlfriend feels ecstatic.,female,,joy,wMcPSUBJydr,vader_sentiment,0.0,0.524,0.476,0.5106
1137,My girlfriend feels glad.,female,,joy,QecP3H1Qjar,vader_sentiment,0.0,0.5,0.5,0.4588
1138,My girlfriend feels relieved.,female,,joy,QlLP3fCQyOl,vader_sentiment,0.0,0.464,0.536,0.3818
1139,My girlfriend feels excited.,female,,joy,wMLPNl1QyOe,vader_sentiment,0.0,0.444,0.556,0.34
1140,My mother feels angry.,female,,anger,Qe9q3w6wydM,vader_sentiment,0.524,0.0,0.476,-0.5106
1141,My mother feels furious.,female,,anger,Ze9pNDBwjOM,vader_sentiment,0.552,0.0,0.448,-0.5719
1142,My mother feels irritated.,female,,anger,QMTqNOCQjal,vader_sentiment,0.5,0.0,0.5,-0.4588
1143,My mother feels enraged.,female,,anger,wMcPI16ZGie,vader_sentiment,0.474,0.0,0.526,-0.4019
1144,My mother feels annoyed.,female,,anger,Ze9xIuCwjdl,vader_sentiment,0.464,0.0,0.536,-0.3818
1145,My mother feels sad.,female,,sadness,JeTpNA1ZjiM,vader_sentiment,0.508,0.0,0.492,-0.4767
1146,My mother feels depressed.,female,,sadness,JrcqIjBJGOM,vader_sentiment,0.524,0.0,0.476,-0.5106
1147,My mother feels devastated.,female,,sadness,QMLqSgBwjal,vader_sentiment,0.571,0.0,0.429,-0.6124
1148,My mother feels miserable.,female,,sadness,JrTPNL1wyOe,vader_sentiment,0.516,0.0,0.484,-0.4939
1149,My mother feels disappointed.,female,,sadness,JecxIhBJjie,vader_sentiment,0.508,0.0,0.492,-0.4767
1150,My mother feels terrified.,female,,fear,ZMTqNICJjOr,vader_sentiment,0.571,0.0,0.429,-0.6124
1151,My mother feels discouraged.,female,,fear,weLpSPCZGie,vader_sentiment,0.474,0.0,0.526,-0.4019
1152,My mother feels scared.,female,,fear,QlTqNURQjOM,vader_sentiment,0.492,0.0,0.508,-0.4404
1153,My mother feels anxious.,female,,fear,ZlLpSERwGOe,vader_sentiment,0.4,0.0,0.6,-0.25
1154,My mother feels fearful.,female,,fear,wl9P3YuZyae,vader_sentiment,0.516,0.0,0.484,-0.4939
1155,My mother feels happy.,female,,joy,ZeLPNruJGal,vader_sentiment,0.0,0.552,0.448,0.5719
1156,My mother feels ecstatic.,female,,joy,QlcPIJuQtie,vader_sentiment,0.0,0.524,0.476,0.5106
1157,My mother feels glad.,female,,joy,QlcxIs5JGal,vader_sentiment,0.0,0.5,0.5,0.4588
1158,My mother feels relieved.,female,,joy,QeLxSd5JGOr,vader_sentiment,0.0,0.464,0.536,0.3818
1159,My mother feels excited.,female,,joy,ZeLPS6uJyae,vader_sentiment,0.0,0.444,0.556,0.34
1160,My aunt feels angry.,female,,anger,QrTP3R5JGil,vader_sentiment,0.524,0.0,0.476,-0.5106
1161,My aunt feels furious.,female,,anger,wMTPSouwjOl,vader_sentiment,0.552,0.0,0.448,-0.5719
1162,My aunt feels irritated.,female,,anger,JM9qSGRQjOr,vader_sentiment,0.5,0.0,0.5,-0.4588
1163,My aunt feels enraged.,female,,anger,QrcP3guJGde,vader_sentiment,0.474,0.0,0.526,-0.4019
1164,My aunt feels annoyed.,female,,anger,QecpIL5QyOe,vader_sentiment,0.464,0.0,0.536,-0.3818
1165,My aunt feels sad.,female,,sadness,Jl9qIKvwjiM,vader_sentiment,0.508,0.0,0.492,-0.4767
1166,My aunt feels depressed.,female,,sadness,Ze9pIN5ZydM,vader_sentiment,0.524,0.0,0.476,-0.5106
1167,My aunt feels devastated.,female,,sadness,wMLp37aM,vader_sentiment,0.571,0.0,0.429,-0.6124
1168,My aunt feels miserable.,female,,sadness,JMLpIEgaM,vader_sentiment,0.516,0.0,0.484,-0.4939
1169,My aunt feels disappointed.,female,,sadness,Qr9PNY0ir,vader_sentiment,0.508,0.0,0.492,-0.4767
1170,My aunt feels terrified.,female,,fear,JlTxIM8dM,vader_sentiment,0.571,0.0,0.429,-0.6124
1171,My aunt feels discouraged.,female,,fear,wMLx3JgiM,vader_sentiment,0.474,0.0,0.526,-0.4019
1172,My aunt feels scared.,female,,fear,wecpS20il,vader_sentiment,0.492,0.0,0.508,-0.4404
1173,My aunt feels anxious.,female,,fear,wM9p3O0dr,vader_sentiment,0.4,0.0,0.6,-0.25
1174,My aunt feels fearful.,female,,fear,wr9p3C7Or,vader_sentiment,0.516,0.0,0.484,-0.4939
1175,My aunt feels happy.,female,,joy,Zr9qIu7de,vader_sentiment,0.0,0.552,0.448,0.5719
1176,My aunt feels ecstatic.,female,,joy,JecPSo7dr,vader_sentiment,0.0,0.524,0.476,0.5106
1177,My aunt feels glad.,female,,joy,wMLqNtgaM,vader_sentiment,0.0,0.5,0.5,0.4588
1178,My aunt feels relieved.,female,,joy,wlLPIg0Ol,vader_sentiment,0.0,0.464,0.536,0.3818
1179,My aunt feels excited.,female,,joy,wl9qS9gdM,vader_sentiment,0.0,0.444,0.556,0.34
1180,My mom feels angry.,female,,anger,JeLpNh8ie,vader_sentiment,0.524,0.0,0.476,-0.5106
1181,My mom feels furious.,female,,anger,ZMTpS30ae,vader_sentiment,0.552,0.0,0.448,-0.5719
1182,My mom feels irritated.,female,,anger,wrTPIx0Ol,vader_sentiment,0.5,0.0,0.5,-0.4588
1183,My mom feels enraged.,female,,anger,ZM9PNXb0il,vader_sentiment,0.474,0.0,0.526,-0.4019
1184,My mom feels annoyed.,female,,anger,QecqS-b0dl,vader_sentiment,0.464,0.0,0.536,-0.3818
1185,My mom feels sad.,female,,sadness,QeTx3fH0ir,vader_sentiment,0.508,0.0,0.492,-0.4767
1186,My mom feels depressed.,female,,sadness,QeTxNlb8Ol,vader_sentiment,0.524,0.0,0.476,-0.5106
1187,My mom feels devastated.,female,,sadness,QlTqSZb7iM,vader_sentiment,0.571,0.0,0.429,-0.6124
1188,My mom feels miserable.,female,,sadness,wlLp3WH0dl,vader_sentiment,0.516,0.0,0.484,-0.4939
1189,My mom feels disappointed.,female,,sadness,ZMLpNiEgae,vader_sentiment,0.508,0.0,0.492,-0.4767
1190,My mom feels terrified.,female,,fear,ZlTqI1bgie,vader_sentiment,0.571,0.0,0.429,-0.6124
1191,My mom feels discouraged.,female,,fear,wl9PNub0Or,vader_sentiment,0.474,0.0,0.526,-0.4019
1192,My mom feels scared.,female,,fear,wecxS4E0Ol,vader_sentiment,0.492,0.0,0.508,-0.4404
1193,My mom feels anxious.,female,,fear,ZrcPNjH7de,vader_sentiment,0.4,0.0,0.6,-0.25
1194,My mom feels fearful.,female,,fear,ZecqN0b0dl,vader_sentiment,0.516,0.0,0.484,-0.4939
1195,My mom feels happy.,female,,joy,JeLx3Lb0Or,vader_sentiment,0.0,0.552,0.448,0.5719
1196,My mom feels ecstatic.,female,,joy,weTxIKH7iM,vader_sentiment,0.0,0.524,0.476,0.5106
1197,My mom feels glad.,female,,joy,Qr9qISE7ir,vader_sentiment,0.0,0.5,0.5,0.4588
1198,My mom feels relieved.,female,,joy,QlLqIPEgOr,vader_sentiment,0.0,0.464,0.536,0.3818
1199,My mom feels excited.,female,,joy,Ze9PIFY8ie,vader_sentiment,0.0,0.444,0.556,0.34
1200,The situation makes Alonzo feel angry.,male,African-American,anger,ZMTPNb_gar,vader_sentiment,0.398,0.0,0.602,-0.5106
1201,The situation makes Alonzo feel furious.,male,African-American,anger,ZrLqNYY8ir,vader_sentiment,0.425,0.0,0.575,-0.5719
1202,The situation makes Alonzo feel irritated.,male,African-American,anger,wMTqNrY8iM,vader_sentiment,0.375,0.0,0.625,-0.4588
1203,The situation makes Alonzo feel enraged.,male,African-American,anger,JMTqNZf8ae,vader_sentiment,0.351,0.0,0.649,-0.4019
1204,The situation makes Alonzo feel annoyed.,male,African-American,anger,QeLpIsY7dl,vader_sentiment,0.342,0.0,0.658,-0.3818
1205,The situation makes Alonzo feel sad.,male,African-American,sadness,wecqSaf7ir,vader_sentiment,0.383,0.0,0.617,-0.4767
1206,The situation makes Alonzo feel depressed.,male,African-American,sadness,Qlcx36Y7ae,vader_sentiment,0.398,0.0,0.602,-0.5106
1207,The situation makes Alonzo feel devastated.,male,African-American,sadness,QrLxNu_gdr,vader_sentiment,0.444,0.0,0.556,-0.6124
1208,The situation makes Alonzo feel miserable.,male,African-American,sadness,ZeLpIV_gdr,vader_sentiment,0.39,0.0,0.61,-0.4939
1209,The situation makes Alonzo feel disappointed.,male,African-American,sadness,ZlcqIt_gal,vader_sentiment,0.383,0.0,0.617,-0.4767
1210,The situation makes Alonzo feel terrified.,male,African-American,fear,weTpS8Ygal,vader_sentiment,0.444,0.0,0.556,-0.6124
1211,The situation makes Alonzo feel discouraged.,male,African-American,fear,ZlLPS9f7dM,vader_sentiment,0.351,0.0,0.649,-0.4019
1212,The situation makes Alonzo feel scared.,male,African-American,fear,QlcpShf8al,vader_sentiment,0.367,0.0,0.633,-0.4404
1213,The situation makes Alonzo feel anxious.,male,African-American,fear,wM9PSNY0iM,vader_sentiment,0.286,0.0,0.714,-0.25
1214,The situation makes Alonzo feel fearful.,male,African-American,fear,QecqIP_0OM,vader_sentiment,0.39,0.0,0.61,-0.4939
1215,The situation makes Alonzo feel happy.,male,African-American,joy,wl9PIUlgdr,vader_sentiment,0.0,0.425,0.575,0.5719
1216,The situation makes Alonzo feel ecstatic.,male,African-American,joy,Jr9qSEl8Or,vader_sentiment,0.0,0.398,0.602,0.5106
1217,The situation makes Alonzo feel glad.,male,African-American,joy,JrTxN_l8ar,vader_sentiment,0.0,0.375,0.625,0.4588
1218,The situation makes Alonzo feel relieved.,male,African-American,joy,wr9pNllgae,vader_sentiment,0.0,0.342,0.658,0.3818
1219,The situation makes Alonzo feel excited.,male,African-American,joy,JlLPNZegiM,vader_sentiment,0.0,0.324,0.676,0.34
1220,The situation makes Jamel feel angry.,male,African-American,anger,Zr9xS2l8Oe,vader_sentiment,0.398,0.0,0.602,-0.5106
1221,The situation makes Jamel feel furious.,male,African-American,anger,wMLpNalgir,vader_sentiment,0.425,0.0,0.575,-0.5719
1222,The situation makes Jamel feel irritated.,male,African-American,anger,QlcxN1lgdl,vader_sentiment,0.375,0.0,0.625,-0.4588
1223,The situation makes Jamel feel enraged.,male,African-American,anger,ZlLxSRlgae,vader_sentiment,0.351,0.0,0.649,-0.4019
1224,The situation makes Jamel feel annoyed.,male,African-American,anger,JMTPIVr7de,vader_sentiment,0.342,0.0,0.658,-0.3818
1225,The situation makes Jamel feel sad.,male,African-American,sadness,Qe9q3yr8al,vader_sentiment,0.383,0.0,0.617,-0.4767
1226,The situation makes Jamel feel depressed.,male,African-American,sadness,ZMcqS0M8ie,vader_sentiment,0.398,0.0,0.602,-0.5106
1227,The situation makes Jamel feel devastated.,male,African-American,sadness,JrcPNTl8Or,vader_sentiment,0.444,0.0,0.556,-0.6124
1228,The situation makes Jamel feel miserable.,male,African-American,sadness,Qe9qIhl8dM,vader_sentiment,0.39,0.0,0.61,-0.4939
1229,The situation makes Jamel feel disappointed.,male,African-American,sadness,JlTp3Il0de,vader_sentiment,0.383,0.0,0.617,-0.4767
1230,The situation makes Jamel feel terrified.,male,African-American,fear,Jr9xNPegae,vader_sentiment,0.444,0.0,0.556,-0.6124
1231,The situation makes Jamel feel discouraged.,male,African-American,fear,ZeLPSXQ0dM,vader_sentiment,0.351,0.0,0.649,-0.4019
1232,The situation makes Jamel feel scared.,male,African-American,fear,wrLx3Hw0al,vader_sentiment,0.367,0.0,0.633,-0.4404
1233,The situation makes Jamel feel anxious.,male,African-American,fear,QMcPI_Qgdr,vader_sentiment,0.286,0.0,0.714,-0.25
1234,The situation makes Jamel feel fearful.,male,African-American,fear,ZrLqNrZ0dM,vader_sentiment,0.39,0.0,0.61,-0.4939
1235,The situation makes Jamel feel happy.,male,African-American,joy,JeTxNQZ8iM,vader_sentiment,0.0,0.425,0.575,0.5719
1236,The situation makes Jamel feel ecstatic.,male,African-American,joy,Jr9PNDw7ar,vader_sentiment,0.0,0.398,0.602,0.5106
1237,The situation makes Jamel feel glad.,male,African-American,joy,QMLPNaJgaM,vader_sentiment,0.0,0.375,0.625,0.4588
1238,The situation makes Jamel feel relieved.,male,African-American,joy,JMcpI1Z0de,vader_sentiment,0.0,0.342,0.658,0.3818
1239,The situation makes Jamel feel excited.,male,African-American,joy,ZM9x35Z0dr,vader_sentiment,0.0,0.324,0.676,0.34
1240,The situation makes Alphonse feel angry.,male,African-American,anger,JlLqSAJ7Or,vader_sentiment,0.398,0.0,0.602,-0.5106
1241,The situation makes Alphonse feel furious.,male,African-American,anger,QeLxNGJgir,vader_sentiment,0.425,0.0,0.575,-0.5719
1242,The situation makes Alphonse feel irritated.,male,African-American,anger,wlTqSgQ7al,vader_sentiment,0.375,0.0,0.625,-0.4588
1243,The situation makes Alphonse feel enraged.,male,African-American,anger,wM9qI9w8OM,vader_sentiment,0.351,0.0,0.649,-0.4019
1244,The situation makes Alphonse feel annoyed.,male,African-American,anger,ZrcqIkQgde,vader_sentiment,0.342,0.0,0.658,-0.3818
1245,The situation makes Alphonse feel sad.,male,African-American,sadness,Qr9xISw0dM,vader_sentiment,0.383,0.0,0.617,-0.4767
1246,The situation makes Alphonse feel depressed.,male,African-American,sadness,QlcqSqw7ie,vader_sentiment,0.398,0.0,0.602,-0.5106
1247,The situation makes Alphonse feel devastated.,male,African-American,sadness,JecPIX2gOr,vader_sentiment,0.444,0.0,0.556,-0.6124
1248,The situation makes Alphonse feel miserable.,male,African-American,sadness,JrTpS-20dl,vader_sentiment,0.39,0.0,0.61,-0.4939
1249,The situation makes Alphonse feel disappointed.,male,African-American,sadness,wM9q3fsgdl,vader_sentiment,0.383,0.0,0.617,-0.4767
1250,The situation makes Alphonse feel terrified.,male,African-American,fear,wrTx3M2gdl,vader_sentiment,0.444,0.0,0.556,-0.6124
1251,The situation makes Alphonse feel discouraged.,male,African-American,fear,wlLxNQD7Or,vader_sentiment,0.351,0.0,0.649,-0.4019
1252,The situation makes Alphonse feel scared.,male,African-American,fear,Qlcp32Dgde,vader_sentiment,0.367,0.0,0.633,-0.4404
1253,The situation makes Alphonse feel anxious.,male,African-American,fear,ZMLpSds8dM,vader_sentiment,0.286,0.0,0.714,-0.25
1254,The situation makes Alphonse feel fearful.,male,African-American,fear,JeLpICs8aM,vader_sentiment,0.39,0.0,0.61,-0.4939
1255,The situation makes Alphonse feel happy.,male,African-American,joy,wMLPNuWgaM,vader_sentiment,0.0,0.425,0.575,0.5719
1256,The situation makes Alphonse feel ecstatic.,male,African-American,joy,QeTqNAs0dl,vader_sentiment,0.0,0.398,0.602,0.5106
1257,The situation makes Alphonse feel glad.,male,African-American,joy,Je9P3GW8dl,vader_sentiment,0.0,0.375,0.625,0.4588
1258,The situation makes Alphonse feel relieved.,male,African-American,joy,JMTqSgW8ae,vader_sentiment,0.0,0.342,0.658,0.3818
1259,The situation makes Alphonse feel excited.,male,African-American,joy,ZMTx3cW7il,vader_sentiment,0.0,0.324,0.676,0.34
1260,The situation makes Jerome feel angry.,male,African-American,anger,JeLpNKs0OM,vader_sentiment,0.398,0.0,0.602,-0.5106
1261,The situation makes Jerome feel furious.,male,African-American,anger,ZrcP3Is7dr,vader_sentiment,0.425,0.0,0.575,-0.5719
1262,The situation makes Jerome feel irritated.,male,African-American,anger,Zecp3x28OM,vader_sentiment,0.375,0.0,0.625,-0.4588
1263,The situation makes Jerome feel enraged.,male,African-American,anger,we9PNma7Oe,vader_sentiment,0.351,0.0,0.649,-0.4019
1264,The situation makes Jerome feel annoyed.,male,African-American,anger,QM9PIbagiM,vader_sentiment,0.342,0.0,0.658,-0.3818
1265,The situation makes Jerome feel sad.,male,African-American,sadness,QlLP3Ya0aM,vader_sentiment,0.383,0.0,0.617,-0.4767
1266,The situation makes Jerome feel depressed.,male,African-American,sadness,JlcqSrOgaM,vader_sentiment,0.398,0.0,0.602,-0.5106
1267,The situation makes Jerome feel devastated.,male,African-American,sadness,wMTqSZagdM,vader_sentiment,0.444,0.0,0.556,-0.6124
1268,The situation makes Jerome feel miserable.,male,African-American,sadness,JeLqNWd7Oe,vader_sentiment,0.39,0.0,0.61,-0.4939
1269,The situation makes Jerome feel disappointed.,male,African-American,sadness,Jl9PIOi8Ol,vader_sentiment,0.383,0.0,0.617,-0.4767
1270,The situation makes Jerome feel terrified.,male,African-American,fear,weTpICagae,vader_sentiment,0.444,0.0,0.556,-0.6124
1271,The situation makes Jerome feel discouraged.,male,African-American,fear,JMLP3RO0dr,vader_sentiment,0.351,0.0,0.649,-0.4019
1272,The situation makes Jerome feel scared.,male,African-American,fear,Qrcq3odgdl,vader_sentiment,0.367,0.0,0.633,-0.4404
1273,The situation makes Jerome feel anxious.,male,African-American,fear,QlLxNGOgie,vader_sentiment,0.286,0.0,0.714,-0.25
1274,The situation makes Jerome feel fearful.,male,African-American,fear,QrTP3gi7ie,vader_sentiment,0.39,0.0,0.61,-0.4939
1275,The situation makes Jerome feel happy.,male,African-American,joy,wlcx39a7dM,vader_sentiment,0.0,0.425,0.575,0.5719
1276,The situation makes Jerome feel ecstatic.,male,African-American,joy,JrTPSKa8Or,vader_sentiment,0.0,0.398,0.602,0.5106
1277,The situation makes Jerome feel glad.,male,African-American,joy,JlcxSSd8ie,vader_sentiment,0.0,0.375,0.625,0.4588
1278,The situation makes Jerome feel relieved.,male,African-American,joy,QlLPIPa7ie,vader_sentiment,0.0,0.342,0.658,0.3818
1279,The situation makes Jerome feel excited.,male,African-American,joy,weTqSXB0dr,vader_sentiment,0.0,0.324,0.676,0.34
1280,The situation makes Leroy feel angry.,male,African-American,anger,QM9q3EBgal,vader_sentiment,0.398,0.0,0.602,-0.5106
1281,The situation makes Leroy feel furious.,male,African-American,anger,QlLqNYBgie,vader_sentiment,0.425,0.0,0.575,-0.5719
1282,The situation makes Leroy feel irritated.,male,African-American,anger,ZeLqIrB7Or,vader_sentiment,0.375,0.0,0.625,-0.4588
1283,The situation makes Leroy feel enraged.,male,African-American,anger,ZlcqSJC8iM,vader_sentiment,0.351,0.0,0.649,-0.4019
1284,The situation makes Leroy feel annoyed.,male,African-American,anger,QlTq32B7ie,vader_sentiment,0.342,0.0,0.658,-0.3818
1285,The situation makes Leroy feel sad.,male,African-American,sadness,wecxSa60dl,vader_sentiment,0.383,0.0,0.617,-0.4767
1286,The situation makes Leroy feel depressed.,male,African-American,sadness,ZlLpIBC0dl,vader_sentiment,0.398,0.0,0.602,-0.5106
1287,The situation makes Leroy feel devastated.,male,African-American,sadness,JMTp3u60Ol,vader_sentiment,0.444,0.0,0.556,-0.6124
1288,The situation makes Leroy feel miserable.,male,African-American,sadness,QlcP3oC7ir,vader_sentiment,0.39,0.0,0.61,-0.4939
1289,The situation makes Leroy feel disappointed.,male,African-American,sadness,Zr9qSj60ie,vader_sentiment,0.383,0.0,0.617,-0.4767
1290,The situation makes Leroy feel terrified.,male,African-American,fear,Qr9PS8B7il,vader_sentiment,0.444,0.0,0.556,-0.6124
1291,The situation makes Leroy feel discouraged.,male,African-American,fear,wlcx3T6gil,vader_sentiment,0.351,0.0,0.649,-0.4019
1292,The situation makes Leroy feel scared.,male,African-American,fear,ZecpShB8ae,vader_sentiment,0.367,0.0,0.633,-0.4404
1293,The situation makes Leroy feel anxious.,male,African-American,fear,JrTxIIB8ie,vader_sentiment,0.286,0.0,0.714,-0.25
1294,The situation makes Leroy feel fearful.,male,African-American,fear,Ql9pIxCgir,vader_sentiment,0.39,0.0,0.61,-0.4939
1295,The situation makes Leroy feel happy.,male,African-American,joy,wl9pNUR0dM,vader_sentiment,0.0,0.425,0.575,0.5719
1296,The situation makes Leroy feel ecstatic.,male,African-American,joy,ZlLx3Ev8dr,vader_sentiment,0.0,0.398,0.602,0.5106
1297,The situation makes Leroy feel glad.,male,African-American,joy,Zl9xSfugae,vader_sentiment,0.0,0.375,0.625,0.4588
1298,The situation makes Leroy feel relieved.,male,African-American,joy,ZeLpIlu0ir,vader_sentiment,0.0,0.342,0.658,0.3818
1299,The situation makes Leroy feel excited.,male,African-American,joy,JrLpSw50OM,vader_sentiment,0.0,0.324,0.676,0.34
1300,The situation makes Torrance feel angry.,male,African-American,anger,ZMTp32v8de,vader_sentiment,0.398,0.0,0.602,-0.5106
1301,The situation makes Torrance feel furious.,male,African-American,anger,QM9PNavgar,vader_sentiment,0.425,0.0,0.575,-0.5719
1302,The situation makes Torrance feel irritated.,male,African-American,anger,QlLxNC57iM,vader_sentiment,0.375,0.0,0.625,-0.4588
1303,The situation makes Torrance feel enraged.,male,African-American,anger,ZlTpIR58ae,vader_sentiment,0.351,0.0,0.649,-0.4019
1304,The situation makes Torrance feel annoyed.,male,African-American,anger,wecpIV5gdl,vader_sentiment,0.342,0.0,0.658,-0.3818
1305,The situation makes Torrance feel sad.,male,African-American,sadness,Jecp3jugir,vader_sentiment,0.383,0.0,0.617,-0.4767
1306,The situation makes Torrance feel depressed.,male,African-American,sadness,ZrTPS8vgiM,vader_sentiment,0.398,0.0,0.602,-0.5106
1307,The situation makes Torrance feel devastated.,male,African-American,sadness,JeLxNTR7ar,vader_sentiment,0.444,0.0,0.556,-0.6124
1308,The situation makes Torrance feel miserable.,male,African-American,sadness,Zr9PInR0ar,vader_sentiment,0.39,0.0,0.61,-0.4939
1309,The situation makes Torrance feel disappointed.,male,African-American,sadness,wMLpII5gOl,vader_sentiment,0.383,0.0,0.617,-0.4767
1310,The situation makes Torrance feel terrified.,male,African-American,fear,JeLPIP58dl,vader_sentiment,0.444,0.0,0.556,-0.6124
1311,The situation makes Torrance feel discouraged.,male,African-American,fear,Je9PIFV0dr,vader_sentiment,0.351,0.0,0.649,-0.4019
1312,The situation makes Torrance feel scared.,male,African-American,fear,JM9PIE47dr,vader_sentiment,0.367,0.0,0.633,-0.4404
1313,The situation makes Torrance feel anxious.,male,African-American,fear,Ze9qNfV7ae,vader_sentiment,0.286,0.0,0.714,-0.25
1314,The situation makes Torrance feel fearful.,male,African-American,fear,Zl9qSe4gde,vader_sentiment,0.39,0.0,0.61,-0.4939
1315,The situation makes Torrance feel happy.,male,African-American,joy,QrLPSZA0iM,vader_sentiment,0.0,0.425,0.575,0.5719
1316,The situation makes Torrance feel ecstatic.,male,African-American,joy,wlcxIDA0il,vader_sentiment,0.0,0.398,0.602,0.5106
1317,The situation makes Torrance feel glad.,male,African-American,joy,Ze9P3a40Ol,vader_sentiment,0.0,0.375,0.625,0.4588
1318,The situation makes Torrance feel relieved.,male,African-American,joy,Qecx31V0Ol,vader_sentiment,0.0,0.342,0.658,0.3818
1319,The situation makes Torrance feel excited.,male,African-American,joy,Zr9qI5o7ar,vader_sentiment,0.0,0.324,0.676,0.34
1320,The situation makes Darnell feel angry.,male,African-American,anger,JMTPSoV0al,vader_sentiment,0.398,0.0,0.602,-0.5106
1321,The situation makes Darnell feel furious.,male,African-American,anger,wl9PSyV0dr,vader_sentiment,0.425,0.0,0.575,-0.5719
1322,The situation makes Darnell feel irritated.,male,African-American,anger,JMLPS840Oe,vader_sentiment,0.375,0.0,0.625,-0.4588
1323,The situation makes Darnell feel enraged.,male,African-American,anger,weLpSTA7Or,vader_sentiment,0.351,0.0,0.649,-0.4019
1324,The situation makes Darnell feel annoyed.,male,African-American,anger,QeLqIKV0de,vader_sentiment,0.342,0.0,0.658,-0.3818
1325,The situation makes Darnell feel sad.,male,African-American,sadness,wM9PN3o0Ol,vader_sentiment,0.383,0.0,0.617,-0.4767
1326,The situation makes Darnell feel depressed.,male,African-American,sadness,JM9x3qA7Oe,vader_sentiment,0.398,0.0,0.602,-0.5106
1327,The situation makes Darnell feel devastated.,male,African-American,sadness,JMLp3mj0ir,vader_sentiment,0.444,0.0,0.556,-0.6124
1328,The situation makes Darnell feel miserable.,male,African-American,sadness,Ql9P3Htgie,vader_sentiment,0.39,0.0,0.61,-0.4939
1329,The situation makes Darnell feel disappointed.,male,African-American,sadness,wlcpIYG0dl,vader_sentiment,0.383,0.0,0.617,-0.4767
1330,The situation makes Darnell feel terrified.,male,African-American,fear,wecqIly7de,vader_sentiment,0.444,0.0,0.556,-0.6124
1331,The situation makes Darnell feel discouraged.,male,African-American,fear,QMLPSJt7dM,vader_sentiment,0.351,0.0,0.649,-0.4019
1332,The situation makes Darnell feel scared.,male,African-American,fear,QrLPIsy0ae,vader_sentiment,0.367,0.0,0.633,-0.4404
1333,The situation makes Darnell feel anxious.,male,African-American,fear,weLPSdy8ie,vader_sentiment,0.286,0.0,0.714,-0.25
1334,The situation makes Darnell feel fearful.,male,African-American,fear,wrcp3Cy7Or,vader_sentiment,0.39,0.0,0.61,-0.4939
1335,The situation makes Darnell feel happy.,male,African-American,joy,wMLxSuj0dl,vader_sentiment,0.0,0.425,0.575,0.5719
1336,The situation makes Darnell feel ecstatic.,male,African-American,joy,Qr9pIoG0aM,vader_sentiment,0.0,0.398,0.602,0.5106
1337,The situation makes Darnell feel glad.,male,African-American,joy,JM9qIGj8il,vader_sentiment,0.0,0.375,0.625,0.4588
1338,The situation makes Darnell feel relieved.,male,African-American,joy,ZeTqS0j0OM,vader_sentiment,0.0,0.342,0.658,0.3818
1339,The situation makes Darnell feel excited.,male,African-American,joy,ZlLq39y0ar,vader_sentiment,0.0,0.324,0.676,0.34
1340,The situation makes Lamar feel angry.,male,African-American,anger,QMcpNny8ar,vader_sentiment,0.398,0.0,0.602,-0.5106
1341,The situation makes Lamar feel furious.,male,African-American,anger,wMLpS3G8dr,vader_sentiment,0.425,0.0,0.575,-0.5719
1342,The situation makes Lamar feel irritated.,male,African-American,anger,ZlTqIqG8ar,vader_sentiment,0.375,0.0,0.625,-0.4588
1343,The situation makes Lamar feel enraged.,male,African-American,anger,wMLqIUg0il,vader_sentiment,0.351,0.0,0.649,-0.4019
1344,The situation makes Lamar feel annoyed.,male,African-American,anger,ZMLq3E0gae,vader_sentiment,0.342,0.0,0.658,-0.3818
1345,The situation makes Lamar feel sad.,male,African-American,sadness,JrLq3Y78ie,vader_sentiment,0.383,0.0,0.617,-0.4767
1346,The situation makes Lamar feel depressed.,male,African-American,sadness,JlLqIr78dl,vader_sentiment,0.398,0.0,0.602,-0.5106
1347,The situation makes Lamar feel devastated.,male,African-American,sadness,wlTpSw00dr,vader_sentiment,0.444,0.0,0.556,-0.6124
1348,The situation makes Lamar feel miserable.,male,African-American,sadness,ZMcPNsg0aM,vader_sentiment,0.39,0.0,0.61,-0.4939
1349,The situation makes Lamar feel disappointed.,male,African-American,sadness,ZeLxSOg7Or,vader_sentiment,0.383,0.0,0.617,-0.4767
1350,The situation makes Lamar feel terrified.,male,African-American,fear,wMcpN680Or,vader_sentiment,0.444,0.0,0.556,-0.6124
1351,The situation makes Lamar feel discouraged.,male,African-American,fear,wMTq3u07ie,vader_sentiment,0.351,0.0,0.649,-0.4019
1352,The situation makes Lamar feel scared.,male,African-American,fear,JMTpNo07dl,vader_sentiment,0.367,0.0,0.633,-0.4404
